word,J,E,P,R,Genesis,Exodus,Leviticus,Numbers,Deuteronomy
רעה,13,4,3,0,14,3,1,4,0
צאן,16,5,3,0,18,4,0,3,2
וקין,1,0,0,0,1,0,0,0,0
עבד,11,5,4,0,12,4,3,0,9
אדמה,3,1,1,0,3,1,0,1,1
מקץ,2,1,3,0,4,1,0,1,3
מנחה,3,2,10,8,5,0,10,8,0
ליהוה,14,24,154,32,10,51,101,62,30
והבל,1,0,0,0,1,0,0,0,0
הביא,3,0,1,0,4,0,0,0,1
מבכרות,1,0,0,0,1,0,0,0,0
צאנו,3,2,0,0,5,0,0,0,0
ומחלבהן,1,0,0,0,1,0,0,0,0
וישע,1,0,0,0,1,0,0,0,0
מנחתו,2,0,1,0,2,0,0,1,0
שעה,1,0,0,0,1,0,0,0,0
ויחר,4,10,3,0,5,3,0,9,1
לקין,2,0,0,0,2,0,0,0,0
ויפלו,4,0,4,0,4,0,1,3,0
פניו,3,11,11,0,9,10,2,4,2
למה,15,15,3,0,17,9,0,7,1
חרה,1,1,0,0,1,0,0,1,0
ולמה,4,1,4,0,4,0,0,5,0
נפלו,1,0,0,0,1,0,0,0,0
פניך,3,5,0,0,5,3,0,0,0
הלוא,4,6,1,0,8,1,0,2,1
תיטיב,2,0,0,0,2,0,0,0,0
שאת,3,0,5,0,3,0,5,0,1
ואם,13,18,101,1,17,16,73,28,8
לפתח,1,1,3,0,1,3,0,1,0
חטאת,1,1,19,12,1,3,12,17,1
רבץ,3,1,0,0,3,1,0,0,0
ואליך,1,0,0,0,1,0,0,0,0
תשוקתו,1,0,0,0,1,0,0,0,0
תמשל,2,0,0,0,2,0,0,0,0
בהיותם,2,0,0,1,2,0,1,0,0
בשדה,9,11,5,1,12,10,0,4,6
ויקם,7,12,8,0,14,7,0,6,0
ויהרגהו,1,0,0,0,1,0,0,0,0
אי,2,0,0,0,2,0,0,0,1
אחיך,17,5,19,0,20,7,9,5,14
ידעתי,6,9,0,1,9,6,0,2,4
השמר,2,5,0,0,4,3,0,0,8
אחי,26,8,6,0,36,1,1,2,0
דמי,2,0,1,0,2,0,1,0,0
צעקים,1,1,0,0,1,1,0,0,0
אלי,25,26,4,1,33,16,0,7,31
פצתה,1,0,0,0,1,0,0,0,1
פיה,4,0,0,1,2,0,0,3,1
מידך,1,0,0,0,1,0,0,0,1
תעבד,3,2,2,0,3,3,1,0,5
תסף,1,2,0,0,1,2,0,0,1
תת,1,0,0,0,1,0,0,0,2
כחה,1,0,0,0,1,0,0,0,0
נע,2,0,0,0,2,0,0,0,0
ונד,2,0,0,0,2,0,0,0,0
תהיה,2,11,34,1,4,12,26,6,16
גדול,10,8,2,0,14,4,1,1,10
עוני,1,0,0,0,1,0,0,0,0
מנשא,1,0,0,0,1,0,0,0,0
גרשת,1,0,0,0,1,0,0,0,0
אתי,18,18,3,0,32,4,1,2,3
ומפניך,1,0,0,0,1,0,0,0,0
אסתר,1,0,0,0,1,0,0,0,0
והייתי,2,0,4,0,3,2,1,0,0
מצאי,1,0,0,0,1,0,0,0,0
יהרגני,2,0,0,0,2,0,0,0,0
לכן,1,1,4,0,2,1,0,3,0
הרג,1,2,1,0,1,1,0,2,1
שבעתים,2,0,0,0,2,0,0,0,0
יקם,3,1,0,0,3,1,0,0,0
אות,1,0,4,0,3,2,0,0,5
הכות,1,1,0,0,1,1,0,0,1
מצאו,1,0,1,0,1,2,0,0,0
ויצא,19,14,15,0,20,12,9,9,5
מלפני,1,1,11,0,5,2,4,3,0
וישב,22,23,9,2,30,13,1,13,4
נוד,1,0,0,0,1,0,0,0,0
וידע,5,1,2,0,5,1,0,2,0
חנוך,2,0,3,6,9,1,0,1,0
בנה,8,3,1,0,8,1,1,2,1
עיר,7,2,7,0,5,0,1,10,6
העיר,19,3,1,0,21,2,0,1,11
כשם,1,0,0,0,1,0,0,0,0
בנו,14,11,19,2,32,2,1,11,4
ויולד,1,0,3,35,39,0,0,1,0
לחנוך,1,0,0,0,1,0,0,0,0
עירד,1,0,0,0,1,0,0,0,0
ועירד,1,0,0,0,1,0,0,0,0
ילד,13,2,3,0,18,0,0,0,0
מחויאל,1,0,0,0,1,0,0,0,0
ומחייאל,1,0,0,0,1,0,0,0,0
מתושאל,1,0,0,0,1,0,0,0,0
ומתושאל,1,0,0,0,1,0,0,0,0
למך,4,0,0,5,9,0,0,0,0
שתי,6,7,50,0,10,36,14,3,4
נשים,2,2,2,0,5,0,1,0,2
האחת,2,1,24,0,2,21,3,1,1
עדה,4,0,5,0,8,0,0,1,0
השנית,2,1,19,0,2,17,0,3,0
צלה,1,0,0,0,1,0,0,0,0
יבל,1,0,0,0,1,0,0,0,0
אבי,36,11,3,0,48,2,0,0,3
ישב,10,1,8,1,12,0,3,6,1
אהל,1,4,97,0,1,28,37,36,0
ומקנה,3,0,1,0,3,0,0,1,0
יובל,1,0,3,0,1,0,3,0,0
תפש,1,0,0,0,1,0,0,0,0
כנור,1,0,0,0,1,0,0,0,0
ועוגב,1,0,0,0,1,0,0,0,0
וצלה,2,0,0,0,2,0,0,0,0
ילדה,11,3,7,1,22,0,0,1,0
תובל,2,0,0,0,2,0,0,0,0
לטש,1,0,0,0,1,0,0,0,0
חרש,1,1,10,0,1,4,6,1,1
נחשת,1,1,28,0,1,27,1,1,2
וברזל,1,0,0,0,1,0,0,0,0
ואחות,1,0,2,0,2,0,1,0,0
נעמה,2,0,0,0,2,0,0,0,0
